#,Name,MLBAMID,Last,First,Lastv2,Firstv2,YahooName
1425,Wes Clarke,682265,Clarke,Wes,Clarke,Wes,
1426,Logan Porter,682515,Porter,Logan,Porter,Logan,Logan Porter
1427,Roddery Munoz,682610,Munoz,Roddery,Muñoz,Roddery,Roddery Muñoz
1428,Diego Cartaya,682616,Cartaya,Diego,Cartaya,Diego,
1429,Marco Luciano,682617,Luciano,Marco,Luciano,Marco,Marco Luciano
1430,Misael Urbina,682618,Urbina,Misael,Urbina,Misael,
1431,Orelvis Martinez,682619,Martinez,Orelvis,Martinez,Orelvis,Orelvis Martinez
1432,Richard Gallardo,682620,Gallardo,Richard,Gallardo,Richard,
1433,Noelvi Marte,682622,Marte,Noelvi,Marte,Noelvi,Noelvi Marte
1434,Francisco Alvarez,682626,Alvarez,Francisco,Alvarez,Francisco,Francisco Alvarez
1435,Alvin Guzman,682630,Guzman,Alvin,Guzman,Alvin,
1436,Kevin Alcantara,682634,Alcantara,Kevin,Alcántara,Kevin,Kevin Alcántara
1437,Osiel Rodriguez,682640,Rodriguez,Osiel,Rodriguez,Osiel,
1438,Luis Matos,682641,Matos,Luis,Matos,Luis,Luis Matos
1439,Alexander Ramirez,682643,Ramirez,Alexander,Ramirez,Alexander,
1440,Malcom Nunez,682650,Nunez,Malcom,Nuñez,Malcom,
1441,Warming Bernabel,682653,Bernabel,Warming,Bernabel,Warming,Warming Bernabel
1442,Angel Martinez,682657,Martinez,Angel,Martínez,Angel,Angel Martínez
1443,Agustin Ramirez,682663,Ramirez,Agustin,Ramírez,Agustín,Agustín Ramírez
1444,Luisangel Acuna,682668,Acuna,Luisangel,Acuña,Luisangel,Luisangel Acuña
1445,Jonatan Clase,682729,Clase,Jonatan,Clase,Jonatan,Jonatan Clase
1446,Eiberson Castellano,682769,Castellano,Eiberson,Castellano,Eiberson,Eiberson Castellano
1447,Wikelman Gonzalez,682790,Gonzalez,Wikelman,González,Wikelman,Wikelman González
1448,Luis Mey,682825,Mey,Luis,Mey,Luis,Luis Mey
1449,Elly De La Cruz,682829,De La Cruz,Elly,De La Cruz,Elly,Elly De La Cruz
1450,Abner Uribe,682842,Uribe,Abner,Uribe,Abner,Abner Uribe
1451,Luis L. Ortiz,682847,Ortiz,Luis L.,Ortiz,Luis L.,Luis L. Ortiz
1452,Endy Rodriguez,682848,Rodriguez,Endy,Rodríguez,Endy,Endy Rodríguez
1453,Bryan Ramos,682868,Ramos,Bryan,Ramos,Bryan,Bryan Ramos
1454,Juan Brito,682877,Brito,Juan,Brito,Juan,
1455,Ronny Simon,682927,Simon,Ronny,Simon,Ronny,Ronny Simon
1456,CJ Abrams,682928,Abrams,CJ,Abrams,CJ,CJ Abrams
1457,Devin Sweet,682967,Sweet,Devin,Sweet,Devin,Devin Sweet
1458,Daniel Espino,682982,Espino,Daniel,Espino,Daniel,
1459,Riley Greene,682985,Greene,Riley,Greene,Riley,Riley Greene
1460,Spencer Jones,682987,Jones,Spencer,Jones,Spencer,
